text,language
Forlorn hope,English
Short end of the stick - The,English
Loose cannon,English
Pass the buck,English
Magical realism,English
Abracadabra,English
Bandy words,English
No more cakes and ale?,English
Sold down the river,English
Kickin' - Alive and,English
Derdemannetjie speel.,Afrikaans
Sticky wicket,English
"Moenie wag dat iets vorendag km nie, vat â€˜n graaf en soek die skat.",Afrikaans
Biblical phrases,English
Join the colours,English
Make a virtue of necessity,English
Keep up with the Joneses,English
Raise Cain,English
Kowtow to,English
The year dot,English
Daar is baie goeie maniere om jou teen versoeking te beskerm â€“ die maklikste is om â€˜n lafaard te wees.,Afrikaans
"Saam met ons, rondom ons, in ons en by ons is die onsienlike. Hy sal altyd daar wees.",Afrikaans
Carbon-copy,English
"Waar rook is, is vuur.",Nederlands
Get a word in edgeways,English
"â€œPasop vir Chantel, sy brand die kookwaterâ€.",Afrikaans
Lyk of hy van die ape gekul is.,Afrikaans
Run a mile,English
â€˜n Mens moet die wÃªreld â€˜n beter plek agterlaat as wat jy dit gekry het.,Afrikaans
"Wyse woorde val dikwels op bar grond, maar â€˜n vriendelike woord word nooit misken nie.",Afrikaans
Not rocket science,English
Butt end of the stick - The,English
Do unto others as you would have them do to you,English
A stone's throw,English
Men in suits,English
Physician heal thyself,English
Let not the sun go down on your wrath,English
Cleft stick - In a,English
The whole nine yards,English
"Moenie roem dat jy geen kwaad gedoen het nie. Watter goed het jy gedoenâ€ â€˜n Steeks perd is nie meer werd as een wat skop nie. Hy beteken minder â€“ een wat skop, kan jy terug skop, maar jy kan nie terug steeks wees nie.",Afrikaans
Chain is only as strong as its weakest link - A,English
"That's one small step for a man, a giant leap for mankind",English
Finger lickin good,English
"Jan van Rooy, vang â€˜n vlooi â€“ poef hom rooi en sÃª â€“ dis mooi!",Afrikaans
Jannie is al ringbek.,Afrikaans
Vergelyk eers wat jy het met wat jy nie het nie â€“ dan kan jy waardeer wat jy nie het nie en liefkry wat jy het.,Afrikaans
Zero tolerance,English
Cut to the chase,English
"Uit het oog, uit het hart.",Nederlands
"If you can't stand the heat, get out of the kitchen",English
Thorn in the flesh,English
Chaise lounge,English
Copper-bottomed,English
Die son sit manshoogte van die berg af.,Afrikaans
"Close, but no cigar",English
Senior citizen,English
An ill wind,English
I see you stand like greyhounds in the slips,English
Nail your colours to the mast,English
Get over it,English
Packed to the gunwales,English
Lick and a promise,English
Middle for diddle,English
Vice versa,English
Die has been cast - The,English
Die mooiweer sal jou nie beskadig omdat jy jou jas en sambreel verniet saamgeneem het nie.,Afrikaans
"Broke - if it ain't, don't fix it",English
Dis nou druiwe na die Boland stuur.,Afrikaans
Bitter end - The,English
Cool Britannia,English
Bet your bottom dollar,English
There's an R in the month,English
Nog groenvoer op die land hÃª.,Afrikaans
Heavens to Betsy,English
Exception that proves the rule - The,English
On the dole,English
"Out of sight, out of mind",English
A ministering angel shall my sister be,English
Infra dig,English
Life of Riley,English
A pig in a poke,English
Amber nectar,English
Go over like a lead balloon,English
Hit the ground running,English
Mutton dressed as lamb,English
Adam sÃª dis Eva en Eva sÃª dis die slang.,Afrikaans
Maak jou vriendelikheid goedkoop en hou jou vriendskap duur.,Afrikaans
Little of what you fancy does you good - A,English
Sy trek holrug.,Afrikaans
Take potluck,English
Full to the gunwales,English
Keep at bay,English
The powers that be,English
Brook no truck with,English
The bitter end,English
Take the upper hand,English
Deus ex machina,English
Catbird seat - In the,English
"Die enigste tyd wanneer spaargeld niks werd is nie, is wanneer jy â€˜n goedkoop, sleg artikel gekoop het.",Afrikaans
Drink like a fish,English
Stand and deliver,English
"As jy by iemand se vuur gaan sit, moet jy eers kyk van watter kant die wind waai.",Afrikaans
Sixes and sevens - At,English
Road less travelled - The,English
Hoist with your own petard,English
Ivory tower,English
The usual suspects,English
Elke hart het sy smart.,Afrikaans
Colour up,English
A load of cobblers,English
Bygones be bygones - Let,English
Life's too short,English
"Marry in haste, repent at leisure",English
"Je moet geen oude schoenen weggooien, voordat je nieuwe hebt.",Nederlands
Might and main,English
Born within the sound of Bow Bells,English
Hy loop aandklas.,Afrikaans
"As jy dan dwing om te val, doen dit terwyl jy nog op die onderste trappie is.",Afrikaans
You look as if you've been dragged through a hedge backwards,English
Bury your head in the sand,English
My salad days,English
Not for all the tea in China,English
Like being savaged by a dead sheep,English
Wax lyrical,English
Push the boat out,English
The Yellow Peril,English
Real McCoy,English
Standing on the shoulders of giants,English
Paddle your own canoe,English
A leopard cannot change its spots,English
Jet-black,English
Ã€ la mode,English
Mad as a hatter,English
Ganse aanja.,Afrikaans
Bread always falls buttered side down,English
Leopard cannot change its spots - A,English
Come up trumps,English
Old lang syne - see auld lang syne,English
Daylight robbery,English
Gemak ondermyn â€˜n mens.,Afrikaans
Die kwaaikind moet uitgebrand word.,Afrikaans
Kick the bucket,English
Die berg het 'n muis gebaar.,Afrikaans
Sy tand koggel hom.,Afrikaans
Drummed out of the army,English
â€˜n Gordyn oor iets laat val.,Afrikaans
Hier kom nou weer baie loopneusdae meneer.,Afrikaans
Net goed wees om die dood te gaan haal.,Afrikaans
Pell-mell,English
Fish out of water - A,English
Het up,English
Put a sock in it,English
Hair of the dog that bit you,English
Red rag to a bull - A,English
Back to square one,English
Have a Captain Cook,English
I will swing for you,English
Get the pip,English
The nth degree,English
As cute as a bug's ear,English
Hit the hay,English
In your face,English
Geld groei nie op my rug nie.,Afrikaans
"As die hemel val, is ons almal dood.",Afrikaans
"Space, the final frontier",English
True blue,English
Counting sheep,English
A word in edgeways,English
Grass up,English
Die verste berge is altyd die blouste.,Afrikaans
"Dis goud wat blink, maar koper wat stink.",Afrikaans
Die beeste het in die brand geloop.,Afrikaans
Old codger,English
At sixes and sevens,English
"Om te dink is maklik; om te doen is moeilik. Om te doen soos â€˜n mens dink, is die moeilikste van alles.",Afrikaans
Comes to the crunch - (When it),English
Safe sex,English
"Ring a ring o'roses, a pocketful of posies, atishoo, atishoo, all fall down",English
Gone for a burton,English
Round Robin,English
The back of beyond,English
Like it or lump it,English
Save face,English
Beelzebub has a devil for a sideboard,English
Hy het die hasepad gekies.,Afrikaans
Hy het rooimiere.,Afrikaans
Gebraaide duiwe vlieg niemand in die mond nie.,Afrikaans
Separate the sheep from the goats,English
The buck stops here,English
Moet nooit aftree nie. Dis beter om te verslyt as om te verroes.,Afrikaans
How are the mighty fallen?,English
Call a spade a spade,English
Chip on your shoulder,English
Take the Mickey,English
Test your mettle - see show your mettle,English
Feeding frenzy,English
"Jack of all trades, master of none",English
Hush puppies,English
Don't count your chickens before they are hatched,English
Big Apple - The,English
Verskoon my Frans.,Afrikaans
Een gegeven paard moet je niet in de bek kijken.,Nederlands
Browned off,English
Plooie pyn nie.,Afrikaans
Hy groei deur sy hare.,Afrikaans
Forbidden fruit,English
Vir gâ€™n geld of goeie woorde te kry nie.,Afrikaans
"To gild refined gold, to paint the lily",English
"An eye for an eye, a tooth for a tooth",English
A man after my own heart,English
Sleep like a top,English
Julius se gesante en trawante raak al minder.,Afrikaans
In someone's bad books,English
Twenty four seven,English
Make a pig's ear of,English
(Ask not) for whom the bell tolls,English
Power dressing,English
â€œHy is twee Castles kort van â€˜n sixpack.â€  â€“ ingestuur deur Andre,Afrikaans
Japie my skapie jy hou my hart se punt in die holte van jou skaapwagters-hande.,Afrikaans
â€œHier het een gesit en pikstele knyp.â€  â€“ ingestuur deur LÃ¶dveteig Nan,Afrikaans
Beer and skittles,English
Charmed life,English
Make no bones about,English
A house divided against itself cannot stand,English
Hy is maar onder die belt.,Afrikaans
Misquotes,English
Daai klas wyn is nie vir â€˜n man met â€˜n dun kopvel nie.,Afrikaans
Full of piss and vinegar,English
Walk the plank,English
Go-faster,English
#ColouredSpreekWoorde was vroeÃ«r die week die gewildste onderwerp op Twitter in Suid-Afrika. Ons het so â€˜n paar geskraap << KLIK op die skakel vir Coloured Spreekwoorde,Afrikaans
Quality time,English
Van een kale kip kan men niet plukken.,Nederlands
Beyond belief,English
Arty-farty,English
My giddy aunt,English
Better to have loved and lost than never to have loved at all,English
Cookie cutter,English
So skaars soos â€˜n tweedehandse doodkis.,Afrikaans
"Brandewyn en vroueraad is goeie dinge, maar jy moet dit bietjies-bietjies gebruik.",Afrikaans
Rise and shine,English
(Take with a) pinch of salt,English
Keen as mustard,English
Sy kloek soos 'n hen al om haar kuikens.,Afrikaans
Pipe down,English
Using a sledgehammer to crack a nut,English
Shot in the dark,English
Fellow traveller,English
As old as the hills,English
Bald as a coot,English
(Can't) hold a candle to,English
Take a back seat,English
Go and boil your head,English
Marital aid,English
Go to the mattresses,English
Set your teeth on edge,English
Alle wegen leiden naar Rome.,Nederlands
Grace of God - There but for ...,English
Route one,English
Battle royal,English
The shot heard 'round the world,English
Vicious circle,English
â€˜n Graaf was my pen en die grond was my boek.,Afrikaans
Hobson's choice,English
Plug ugly,English
Lions led by donkeys,English
Hy lag al die pad bank toe.,Afrikaans
Full Monty - The,English
Piece of the action,English
Without so much as a by your leave,English
"To sleep: perchance to dream: ay, there's the rub",English
Your name is mud,English
Flavor of the month,English
Crack of doom - The,English
Stars and garters - My,English
Eaten out of house and home,English
All things come to he who waits,English
Daarâ€™s â€˜n geurtjie aan.,Afrikaans
Spelling-bee,English
Truth is stranger than fiction,English
"Once more unto the breach, dear friends, once more",English
Beef and reef,English
Carbon footprint,English
Tell it to the marines,English
Come what come may,English
Carry coals to Newcastle,English
Hy is gecollar en getie.,Afrikaans
Identity theft,English
Keep your powder dry,English
Praat is goedkoop omdat die aanbod die aanvraag vÃ©r oorskry.,Afrikaans
Ill wind,English
So sue me,English
Make haste,English
Eerlijkheid duurt het langst.,Nederlands
Veg out,English
Pieter se nuwe meisie is â€˜n mooi melkkoffie.,Afrikaans
Blind leading the blind - The,English
Dicky-bird - Not a,English
Sound out,English
"Om te dink is maklik; om te doen is moeilik; Om te doen soos â€˜n mens dink, is die moeilikste van alles.",Afrikaans
Scot free,English
Katy bar the door,English
As pure as the driven snow,English
My cup runneth over,English
The mutt's nuts,English
Stump up,English
It came like a bolt from the blue,English
Burning the midnight oil,English
Kerm soos â€˜n kat oor â€˜n derm.,Afrikaans
"Jy kan nie die armes ryk maak, deur die rykes te verarm nie.",Afrikaans
The writing is on the wall,English
Geld in die water gooi.,Afrikaans
Dit is met geen goud te betaal nie.,Afrikaans
As black as Newgate's knocker,English
Richard of York gave battle in vain,English
Worth one's salt,English
Damp squib,English
Geen mens het nog ooit in sy slaap ryk geword nie.,Afrikaans
Morbid obesity,English
By your leave,English
Queer the pitch,English
Alter ego,English
Nip and tuck,English
A good man is hard to find,English
Happy slapping,English
Foot of our stairs - The,English
All publicity is good publicity,English
Blow your own trumpet,English
"Om elke dag te lewe asof dit jou laaste is â€“ nooit oorhaastig nie, nooit ongevoelig nie, nooit met aansit nie â€“ dit is die perfekte karakter.",Afrikaans
One stop shop,English
Dollars to donuts,English
Primrose path,English
Jy is nou by die verkeerde adres.,Afrikaans
When pigs fly,English
Arms akimbo,English
Gee die duiwel wat hom toekom - hy slyp al lank genoeg aan sy steen.,Afrikaans
Minced oaths,English
Squeaky bum time,English
"O Romeo, Romeo! wherefore art thou Romeo?",English
Laughing-stock,English
Tawdry,English
Lock stock and barrel,English
Heavens to Murgatroyd,English
Old hat,English
Christmas card verses,English
Left hand doesn't know what the right hand is doing,English
Geen spiesen maacht so diepe wonden als achterklap en boose monden.,Afrikaans
Cop an attitude,English
Bottle out,English
Lark about,English
Rose is a rose is a rose,English
"Behandel jou meerdere met beleefdheid omdat dit jou plig is, jou gelyke omdat dit jou plesier is, jou mindere omdat dit jou voorreg is. Die voorreg is aangenamer as die plesier en die plesier is soeter as die plig.",Afrikaans
â€˜n Mens moet nooit lag as â€˜n dief op â€˜n fiets deur â€˜n trein getrap word nie. Dit kan moontlik jou fiets wees.,Afrikaans
Scott (Sir Walter - phrases coined by),English
Make a bee-line for,English
What's up Doc?,English
That's all folks!,English
If I had my druthers,English
Pester power,English
Across the board,English
The whole kit and caboodle,English
Lardy-dardy,English
The pen is mightier than the sword,English
Die duiwel se briewe lees.,Afrikaans
By the skin of your teeth,English
"Sou daar â€˜n weersien wees, of is ons verdoem tot verpulwerde deeltjies van eens warm vlees.",Afrikaans
So maklik soos brood en botter.,Afrikaans
Between the Devil and the deep blue sea,English
The pot calling the kettle black,English
Bobbejaanstuipe kry.,Afrikaans
Heart's content,English
"Agter die kruis, staan altyd die duiwel.",Afrikaans
Not my cup of tea,English
Double cross,English
Shiver my timbers,English
Ups-a-daisy,English
Englishman's home is his castle,English
â€˜n Gat in die dag slaap.,Afrikaans
Woe betide you,English
Can't hold a candle to,English
To big for your breeches,English
Hangskouers soos â€˜n kasteroliebottel.,Afrikaans
Learn the ropes,English
"Overpaid, oversexed, and over here",English
Knick-knack,English
Die kar draai sommer hier rÃ»ens in die pad.  [â€˜n SÃªding in Riversdal.],Afrikaans
Cock-a-hoop,English
Cherchez la femme,English
Talk to the hand,English
In the doldrums,English
Cordon bleu,English
"Don't call us, we'll call you",English
Ek voel bietjie kop-onder-die-vlerk.,Afrikaans
"Frailty, thy name is woman",English
La-la land,English
"Die beste manier om â€˜n argument te wen, is om daaruit te bly.",Afrikaans
Over the moon,English
You are what you eat,English
Geef hem een vinger en hij neemt de hele hand.,Nederlands
Vanaand braai ons weer â€˜n slag skaalvleis!,Afrikaans
Truth will out,English
Badger to death,English
Rhyming slang,English
Tinker's dam,English
Alle begin is moeilijk.,Nederlands
A diamond is forever,English
â€œHelp vir Henna en troos vir Koos.â€,Afrikaans
The upper hand,English
Beat around the bush,English
Knock back,English
"Eeny, meeny, miny, mo",English
As keen as mustard,English
Fall off the back of a lorry,English
Kangaroo court,English
Stool pigeon,English
Miss is as good as a mile,English
Bee-line - make a bee-line for,English
Gregory Peck,English
Daar is â€˜n definitiewe korrelasie tussen leesvermoÃ« en leervermoÃ«.,Afrikaans
Golden key can open any door - A,English
Like billy-o,English
Dis makliker om weg te bly van die aas af as om los te kom van die hoek.,Afrikaans
Oefening baart kunst.,Nederlands
Upset the apple-cart,English
Die mens met min woorde se solder is so klein dat daar nie plek vir kaf is nie.,Afrikaans
"â€˜n Man kan nog per ongeluk op jou tone trap, maar as hy op jou kop trap, is dit moedswillig.",Afrikaans
To the nth degree,English
Bode well,English
Hy probeer hoÃ«r vlieg as wat sy vlerke lank is.,Afrikaans
Jors se opsykind is al pramhoog.  [pramhoog â€“ hoe vrouens in Namakwaland hoogte aandui],Afrikaans
Binge drinking,English
Cat may look at a king - A,English
Fools rush in where angels fear to tread,English
Bill Stickers is innocent,English
In a cleft stick,English
Hie vlie woerts om die hoekie.,Afrikaans
Sy vertel hom waar die bus stop.,Afrikaans
Die gefluisterde woord trek verder as die harde geskreeu.,Afrikaans
Square meal,English
"Goody, goody gumdrops",English
Dance attendance on,English
Chock-a-block,English
In a quandary,English
Powers that be - The,English
Suspension of disbelief,English
I'm stumped,English
On Carey Street,English
Dit kom nog uit Noag se ark saam met Metusalem.,Afrikaans
"Though this be madness, yet there is method in it",English
It never rains but it pours,English
Back the field,English
Moet nooit â€˜n apologie met â€˜n verskoning bederf nie.,Afrikaans
One's heart's content,English
Go berserk,English
Die luiaard is die enigste man wat van sy slaap moet rekenskap gee.,Afrikaans
Brush - As daft as a,English
Hy is dopsak.,Afrikaans
Liefde maakt blind.,Nederlands
Third degree - The,English
Tit for tat,English
Toast of the town,English
"Begeer nie om â€˜n man van belang te wees nie, maar â€˜n man van waarde.",Afrikaans
What are you like?,English
Hell in a handbasket,English
Trouble and strife,English
"Behandel die vreemdeling goed, maar wees versigtig om hom die kans te gee om jou te behandel.",Afrikaans
Jump the gun,English
"Toe maar, mÃ´re bak ma koekies.",Afrikaans
â€˜n Totale balls-up van iets maak.,Afrikaans
"Om vas te staan wanneer jy iets weet en toe te gee dat jy soms iets nie weet nie, dit is KENNIS.",Afrikaans
Well heeled,English
Compassion fatigue,English
Maak die pas van die natuur jou eie â€“ haar geheim is geduld en volharding.,Afrikaans
Gou op sy agterpote wees.,Afrikaans
Hy het â€˜n hallelujagesig en jazzvoete.,Afrikaans
Horse and cart,English
Hou jou oÃ« goed oop voor die huwelik en half-toe daarna.,Afrikaans
Teenspoed ontlont talente wat in voorspoed dormant sou bly.,Afrikaans
King James' Version of the Bible,English
Comparisons are odious,English
Short shrift,English
Blow your mind,English
Full tilt,English
"Die belangrikste eienskap wat â€˜n jong meisie moet openbaar, is blymoedigheid in haar lewensuitkyk.",Afrikaans
Stand up guy,English
Fuzzy wuzzy,English
I have not slept one wink,English
Moenie jou pÃªrels voor die swyne werp nie.,Afrikaans
Die verhouding tussen Hoofman en Werknemeres is soos diÃ© tussen die wind en die gras. Die gras moet buig as die wind daaroor waai.,Afrikaans
Sy doopseel lig.,Afrikaans
Mouth-watering,English
"Friends, Romans, Countrymen, lend me your ears",English
My husband and I,English
Bowled a maiden over,English
Hy doen dermwerk.,Afrikaans
Big wig,English
An Oxford scholar,English
Beetle-browed,English
God rot them,English
Geduld is een schone zaak.,Nederlands
Piece of cake - A,English
Ear candy,English
Odds bodkins,English
Spare the rod and spoil the child,English
Thus far into the bowels of the land,English
Shot across the bows,English
Flat out,English
Platsak wees.,Afrikaans
The last straw,English
Stony-hearted,English
Word for word,English
Jors het al weer gestook.,Afrikaans
Smart casual,English
"Moenie fout vind nie, vind â€˜n oplossing.",Afrikaans
Action man,English
Bee's knees - The,English
(The pen is) mightier than the sword,English
Graveyard shift,English
Bane of your life,English
Bird in the hand is worth two in the bush - A,English
Salad days,English
The seven-year itch,English
Daniel come to judgement,English
Son of a gun,English
The moving finger writes,English
My mind's eye,English
The ends of the earth,English
Tower of strength,English
Jy kan vir Jan Raap en Skraap eet ou.,Afrikaans
Pure as the driven snow,English
Sy ly aan bek-en-klouseer.,Afrikaans
Never knowingly undersold,English
Butter side down,English
Everybody out,English
Shit for brains,English
Jy sal verbaas wees hoeveel van jou geheime sondes jou bure weet. Hoekom sal hulle met jou daaroor praat? Hulle reken jy weet dit immers self.,Afrikaans
Give up the ghost,English
There is no alternative,English
All fingers and thumbs,English
Pigeon-chested,English
Dog is a man's best friend,English
"We few, we happy few, we band of brothers",English
Devil Incarnate - The,English
Met â€˜n aalwynpil in jou kies loop.,Afrikaans
Good measure - For,English
Iemand afkam.,Afrikaans
Booze cruise,English
On your tod,English
Mud - your name is,English
Hulle breek nie brandhout van dieselfde tak nie.,Afrikaans
Jam tomorrow,English
One over the eight,English
The - unkindest cut of all,English
Ginger up,English
Panic stations,English
Jack Robinson - Before you can say,English
Gou met die pen.,Afrikaans
Jy steek jou kop in 'n bynes.,Afrikaans
Hunky-dory,English
Load of cobblers,English
Piet Pompies van Soetmelksvlei is nie van hier nie.,Afrikaans
Die baas knor weer vanmÃ´re soos â€˜n muishond met â€˜n seer bal.,Afrikaans
"Geld wat sleg is, maak krom wat reg is.",Afrikaans
Derring-do,English
Armoede leer â€˜n maer hond bene kou.,Afrikaans
"If wishes were horses, beggars would ride",English
Die parlement is moerland toe.,Afrikaans
Make him an offer he can't refuse,English
A piece of the action,English
The dark side,English
Maer bokke dip.,Afrikaans
Turn up trumps,English
Go like the clappers,English
Ne'er do well,English
Keep the ball rolling,English
Homonyms,English
Hands down,English
Good in parts,English
Jou brandewyn bloots drink.,Afrikaans
Zien is geloven.,Nederlands
Cat got your tongue?,English
Get thee behind me Satan,English
Wouldn't touch with a barge-pole,English
Last but not least,English
Sexton Blake,English
Go to the dogs,English
Gert Erf is Gert Swerf.,Afrikaans
Blown to smithereens,English
Has the cat got your tongue?,English
Met broek en baadjie .,Afrikaans
Fly off the handle,English
Up shit creek without a paddle,English
God is dead,English
Doesn't know shit from Shinola,English
Turn of phrase,English
A dog is a man's best friend,English
As queer as a nine bob note,English
A norange,English
A tinker's damn,English
Happy as Larry,English
A hard man is good to find,English
Storm in a teacup,English
Life's not all beer and skittles,English
A woman's place is in the home,English
Shilly-shally,English
Daar is geen sukkel by kuns nie en geen kuns by sukkel nie.,Afrikaans
The cut of your jib,English
Gee whiz,English
Jy kan nie uitdeel wat jy nie het nie.,Afrikaans
"Some are born great, some achieve greatness, and some have greatness thrust upon 'em",English
Vis-a-vis,English
"Eye of newt and toe of frog, wool of bat and tongue of dog",English
Hard man is good to find - A,English
Crapper - The,English
Je moet de huid niet verkopen voordat de beer geschoten is.,Nederlands
Draw a blank,English
Hobby-horse,English
"Klein diewe het ysterkettings, groot diewe goue kettings.",Afrikaans
"Sy is so klein, sy verdwaal in â€˜n telefoonhokkie.",Afrikaans
Run out of steam,English
Hoity-toity,English
Special relationship,English
Game is afoot - The,English
Clue - don't have a,English
Nou gaan die poppe dans.,Afrikaans
Iron hoof,English
Paying guest - A,English
Lo and behold,English
Cock and bull story,English
De stoute schoenen aantrekken.,Nederlands
Giddy aunt,English
Elke gek het sy gebrek.,Afrikaans
Brandewyn raas as dit uit die vat uit kom.,Afrikaans
Die lewe is nie net swart en wit nie.,Afrikaans
A friend in need is a friend indeed,English
Quid pro quo,English
Kettle of fish,English
Toe-curling,English
A load of codswallop,English
Dog's breakfast,English
Alte goed is buurmansgek.,Afrikaans
Donkie vasmaak.,Afrikaans
Je moet geen slapende honden wakker maken.,Nederlands
Cute as a bug's ear,English
Put a damper on,English
Hy is nie so groen dat â€˜n koei hom sal vreet nie.,Afrikaans
Hy is â€˜n geldwolf.,Afrikaans
Climb on the bandwagon,English
For keeps,English
Handle with kid gloves,English
Call of the wild - The,English
Hy is al sy alies kwyt.,Afrikaans
All the tea in China - Not for,English
Go by the book,English
My cup of tea,English
Wraak maak jou gelyk met jou vyand. Vergifnis plaas jou hoÃ«r as hy.,Afrikaans
(In a) pig's eye,English
Trou die dogter van â€˜n goeie ma.,Afrikaans
As XXX as YYY,English
Trick or treat,English
A knight in shining armour,English
Dit is net â€˜n brekfis.,Afrikaans
Hy slaan die bottel hard.,Afrikaans
Hy dink hy kan biltong saamneem.,Afrikaans
Cat's Cradle,English
To a T,English
Box and Cox,English
Heavy metal,English
Charm offensive,English
Belt and braces,English
Hy is â€˜n regte cheapskate.,Afrikaans
Om jou op die haaivlakte te bevind.,Afrikaans
â€œByt jy weer borrels.â€  â€“ ingestuur deur LÃ¶dveteig Nan,Afrikaans
Busy as a bee,English
Kiss and tell,English
Arm candy - see ear candy,English
Rumpy-pumpy,English
Butter wouldn't melt in his mouth,English
"Dit verg meer moed om te ly, as om te sterf.",Afrikaans
Bolt from the blue,English
"Something old, something new, something borrowed, something blue",English
Up the pole,English
He will give the Devil his due,English
Visit the ladies' room,English
I'll have your guts for garters,English
Blow a raspberry - see raspberry tart,English
On the QT,English
"â€˜n Man se geld kan opraak, solank jou planne nie opraak nie.",Afrikaans
Veel geskreeu en weinig wol.,Afrikaans
Soms is die lewe soos n kakkerlak â€¦ meer k@k as luck!,Afrikaans
Fall on your sword,English
Met iets te koop loop.,Afrikaans
Steal my thunder,English
As fit as a butcher's dog,English
Roasted to a turn,English
Rosie Lea,English
Senior burgers: Vraag: â€œWat maak julle heeldag?â€ Antwoord: â€œOns soek ons goed en probeer onthou wat ons vergeet het!!!!â€,Afrikaans
Take umbrage,English
Many happy returns,English
History is bunk,English
"As jy nie uit jou foute leer nie, is daar geen sin om hulle te maak nie.",Afrikaans
Flotsam and jetsam,English
Bun in the oven,English
On queer street,English
Okey-dokey,English
McCoy - The real,English
Bacon - Bring home the,English
Dirt bag,English
Like a chicken with its head cut off,English
Forewarned is forearmed,English
You can't teach an old dog new tricks,English
A hiding to nothing - On,English
Walk free,English
Hy is op die afdraand met sy briek los.,Afrikaans
Ring-fencing,English
Wear your heart on your sleeve,English
Jack the lad,English
Egg on,English
Helter-skelter,English
About face,English
Thou shalt not kill,English
You can't get blood out of a stone,English
French phrases,English
Accidentally on purpose,English
The jury is still out,English
Piece of piss,English
Tanstaafl - (there's no such thing as a free lunch),English
Trip the light fantastic,English
Ship shape and Bristol fashion,English
To all intents and purposes,English
Hy besit geen duit nie.,Afrikaans
Old chestnut,English
"â€œDis jy wat met haar getjoing-tjoing het en nie ek nie.â€ â€“ Mikro, Gonnakolk",Afrikaans
Hell or high water,English
Jy hou jou latjiesbeen by â€˜n meisie.,Afrikaans
"O ye, of little faith",English
Sound bite,English
Sent to Coventry,English
One for the road,English
Red sky at night ...,English
Dark horse,English
Blaze a trail,English
Eat drink and be merry,English
Foam at the mouth,English
Dark side - The,English
By and large,English
Play the race card,English
Ace in the hole,English
Swing for you,English
"Zoals de waard is, vertrouwt hij zijn gasten.",Nederlands
Eat humble pie,English
It ain't over till the fat lady sings,English
Filthy rich,English
Happy clappy,English
Ends of the earth - The,English
Vir â€˜n man horings opsit.,Afrikaans
Genade het nie â€˜n horing nie. [Dalk beter bekend as â€œGenade het nie horings nieâ€. ğŸ™‚ ],Afrikaans
Take the gilt off the gingerbread,English
Bean counter,English
According to Hoyle,English
